url,price,address,beds,dens,baths,sqft,mls_id,property_type,street,neighbourhood,city,date_scraped
https://torontocondoteam.ca/801-coxwell-ave-e7309674,1515000,801 Coxwell Ave,3,0,4,1100-1500,E7309674,condo_apartment,Coxwell Ave,Danforth Village-East York,Toronto,2024-02-05
https://torontocondoteam.ca/37-frontier-ptwy-e7026054,925000,37 Frontier Ptwy,3,1,3,1500-2000,E7026054,condo_apartment,Frontier Ptwy,Malvern,Toronto,2024-02-05
https://torontocondoteam.ca/12-briar-field-dr-c6712940,1850000,12 Briar Field Dr,3,0,2,1100-1500,C6712940,condo_apartment,Briar Field Dr,Banbury-Don Mills,Toronto,2024-02-05
https://torontocondoteam.ca/48-stewart-st-c7305174,3199000,48 Stewart St,2,0,3,2000-2500,C7305174,condo_apartment,Stewart St,Waterfront Communities C1,Toronto,2024-02-05
https://torontocondoteam.ca/413-nairn-ave-w7321456,1100000,413 Nairn Ave,4,2,3,not_provided,W7321456,condo_apartment,Nairn Ave,Caledonia-Fairbank,Toronto,2024-02-05
https://torontocondoteam.ca/408-ontario-st-c6636572,2885000,408 Ontario St,2,0,5,3000-3500,C6636572,condo_apartment,Ontario St,Moss Park,Toronto,2024-02-05
https://torontocondoteam.ca/212-4064-lawrence-ave-e7330588,429999,212 - 4064 Lawrence Ave,3,0,2,1400-1599,E7330588,condo_apartment,Lawrence Ave,West Hill,Toronto,2024-02-05
https://torontocondoteam.ca/67-blue-springs-rd-w7340188,1399000,67 Blue Springs Rd,3,1,2,1100-1500,W7340188,condo_apartment,Blue Springs Rd,Maple Leaf,Toronto,2024-02-05
https://torontocondoteam.ca/160-harewood-ave-e7025188,1029999,160 Harewood Ave,2,2,2,not_provided,E7025188,condo_apartment,Harewood Ave,Cliffcrest,Toronto,2024-02-05
https://torontocondoteam.ca/551-military-tr-e7294002,2189000,551 Military Tr,4,0,3,not_provided,E7294002,condo_apartment,Military Tr,Morningside,Toronto,2024-02-05
https://torontocondoteam.ca/22-gradwell-dr-e6804478,2368000,22 Gradwell Dr,4,1,6,2500-3000,E6804478,condo_apartment,Gradwell Dr,Cliffcrest,Toronto,2024-02-05
https://torontocondoteam.ca/26-brewton-rd-e7379118,1199000,26 Brewton Rd,3,2,2,not_provided,E7379118,condo_apartment,Brewton Rd,Woburn,Toronto,2024-02-05
https://torontocondoteam.ca/39-wayford-cres-e7339730,899000,39 Wayford Cres,3,1,3,not_provided,E7339730,condo_apartment,Wayford Cres,Malvern,Toronto,2024-02-05
https://torontocondoteam.ca/414-15-bruyeres-mews-c7386424,839900,414 - 15 Bruyeres Mews,2,0,2,800-899,C7386424,condo_apartment,Bruyeres Mews,Niagara,Toronto,2024-02-05
https://torontocondoteam.ca/20-118-finch-ave-w-c6817482,978000,20 - 118 Finch Ave W,3,1,3,1400-1599,C6817482,condo_apartment,Finch Ave W,Newtonbrook West,Toronto,2024-02-05
https://torontocondoteam.ca/124-alfred-ave-c7014012,3588000,124 Alfred Ave,4,1,6,3000-3500,C7014012,condo_apartment,Alfred Ave,Willowdale East,Toronto,2024-02-05
https://torontocondoteam.ca/50-mackinac-cres-e6804786,999599,50 Mackinac Cres,3,4,4,not_provided,E6804786,condo_apartment,Mackinac Cres,Bendale,Toronto,2024-02-05
https://torontocondoteam.ca/52-fallingdale-cres-w7309702,1150000,52 Fallingdale Cres,3,2,3,not_provided,W7309702,condo_apartment,Fallingdale Cres,York University Heights,Toronto,2024-02-05
https://torontocondoteam.ca/41-beckett-ave-e-w7350980,1495000,41 Beckett Ave E,6,6,4,not_provided,W7350980,condo_apartment,Beckett Ave E,Rustic,Toronto,2024-02-05
https://torontocondoteam.ca/96-140-ling-rd-e7374952,589900,96 - 140 Ling Rd,3,0,1,1000-1199,E7374952,condo_apartment,Ling Rd,West Hill,Toronto,2024-02-05
https://torontocondoteam.ca/150-st-johns-rd-w7010556,2499000,150 St Johns Rd,4,2,5,not_provided,W7010556,condo_apartment,St Johns Rd,Junction Area,Toronto,2024-02-05
https://torontocondoteam.ca/2096-100-mornelle-crt-e7369622,569000,2096 - 100 Mornelle Crt,2,1,2,1000-1199,E7369622,condo_apartment,Mornelle Crt,Morningside,Toronto,2024-02-05
https://torontocondoteam.ca/308-merton-st-c7347770,1599999,308 Merton St,3,0,3,1500-2000,C7347770,condo_apartment,Merton St,Mount Pleasant West,Toronto,2024-02-05
https://torontocondoteam.ca/901-30-baseball-pl-e7037198,749000,901 - 30 Baseball Pl,2,0,2,600-699,E7037198,condo_apartment,Baseball Pl,South Riverdale,Toronto,2024-02-05
https://torontocondoteam.ca/139-morningview-tr-e7351096,1449999,139 Morningview Tr,3,1,4,2000-2500,E7351096,condo_apartment,Morningview Tr,Rouge E11,Toronto,2024-02-05
https://torontocondoteam.ca/102-117a-the-queensway-w7384320,1149000,102 - 117A The Queensway,3,0,2,1600-1799,W7384320,condo_apartment,A The Queensway,High Park-Swansea,Toronto,2024-02-05
https://torontocondoteam.ca/30-sun-row-dr-w6774484,1570000,30 Sun Row Dr,3,1,2,not_provided,W6774484,condo_apartment,Sun Row Dr,Kingsview Village-The Westway,Toronto,2024-02-05
https://torontocondoteam.ca/17-sonneck-sq-e7014504,2169000,17 Sonneck Sq,4,2,4,2500-3000,E7014504,condo_apartment,Sonneck Sq,Guildwood,Toronto,2024-02-05
https://torontocondoteam.ca/22-monteith-st-c7341004,1549000,22 Monteith St,4,0,4,2000-2500,C7341004,condo_apartment,Monteith St,Church-Yonge Corridor,Toronto,2024-02-05
https://torontocondoteam.ca/94-847-871-sheppard-ave-c7033532,949000,94 - 847-871 Sheppard Ave,2,0,2,1000-1199,C7033532,condo_apartment,Sheppard Ave,Clanton Park,Toronto,2024-02-05
https://torontocondoteam.ca/189-elmhurst-dr-w7029664,1119999,189 Elmhurst Dr,3,3,3,not_provided,W7029664,condo_apartment,Elmhurst Dr,Rexdale-Kipling,Toronto,2024-02-05
https://torontocondoteam.ca/11-7-brimley-rd-s-e7351552,795000,11 - 7 Brimley Rd S,2,0,1,not_provided,E7351552,condo_apartment,Brimley Rd S,Cliffcrest,Toronto,2024-02-05
https://torontocondoteam.ca/100-ranstone-gdns-e7018322,1075900,100 Ranstone Gdns,5,2,3,1500-2000,E7018322,condo_apartment,Ranstone Gdns,Ionview,Toronto,2024-02-05
https://torontocondoteam.ca/34-queens-dr-w7249420,1599000,34 Queens Dr,4,1,4,not_provided,W7249420,condo_apartment,Queens Dr,Weston,Toronto,2024-02-05
https://torontocondoteam.ca/32-16-rexdale-w6780156,525000,32 - 16 Rexdale,2,0,2,1000-1199,W6780156,condo_apartment,Rexdale,Rexdale-Kipling,Toronto,2024-02-05
https://torontocondoteam.ca/38-st-clarens-ave-c7382716,1259888,38 St Clarens Ave,3,0,3,not_provided,C7382716,condo_apartment,St Clarens Ave,Little Portugal,Toronto,2024-02-05
https://torontocondoteam.ca/1-crescentwood-rd-e7248834,3500000,1 Crescentwood Rd,4,2,4,3000-3500,E7248834,condo_apartment,Crescentwood Rd,Birchcliffe-Cliffside,Toronto,2024-02-05
https://torontocondoteam.ca/th28-20-ed-clark-gardens-blvd-w-w7013428,899000,Th28 - 20 Ed Clark Gardens Blvd W,3,0,2,900-999,W7013428,condo_apartment,Th28 - 20 Ed Clark Gardens Blvd W,Weston-Pellam Park,Toronto,2024-02-05
https://torontocondoteam.ca/82-lansbury-dr-e6805658,1188000,82 Lansbury Dr,3,2,4,not_provided,E6805658,condo_apartment,Lansbury Dr,Agincourt North,Toronto,2024-02-05
https://torontocondoteam.ca/110-clovelly-ave-c7342512,999999,110 Clovelly Ave,2,0,2,2500-3000,C7342512,condo_apartment,Clovelly Ave,Oakwood Village,Toronto,2024-02-05
https://torontocondoteam.ca/23-ordway-rd-e7037590,899000,23 Ordway Rd,3,2,2,700-1100,E7037590,condo_apartment,Ordway Rd,Kennedy Park,Toronto,2024-02-05
https://torontocondoteam.ca/201-1316-kingston-rd-s-e7342930,599900,201 - 1316 Kingston Rd S,1,0,2,600-699,E7342930,condo_apartment,Kingston Rd S,Birchcliffe-Cliffside,Toronto,2024-02-05
https://torontocondoteam.ca/36-albright-ave-w7343804,2688000,36 Albright Ave,4,0,5,not_provided,W7343804,condo_apartment,Albright Ave,Alderwood,Toronto,2024-02-05
https://torontocondoteam.ca/376-oconnor-dr-e7304540,1999000,376 O'connor Dr,3,1,5,not_provided,E7304540,condo_apartment,O'connor Dr,East York,Toronto,2024-02-05
https://torontocondoteam.ca/19-buckhorn-pl-w-w7013352,899000,19 Buckhorn Pl W,3,2,2,not_provided,W7013352,condo_apartment,Buckhorn Pl W,Etobicoke West Mall,Toronto,2024-02-05
https://torontocondoteam.ca/159-elmhurst-dr-w6746470,1075000,159 Elmhurst Dr,3,3,2,700-1100,W6746470,condo_apartment,Elmhurst Dr,Rexdale-Kipling,Toronto,2024-02-05
https://torontocondoteam.ca/31-brookmere-rd-w7009504,925000,31 Brookmere Rd,3,1,3,1100-1500,W7009504,condo_apartment,Brookmere Rd,Rexdale-Kipling,Toronto,2024-02-05
