mls_id,property_type,address,street,neighbourhood,city,price,baths,beds,dens,latitude,longitude,date_scraped,url
C7336302,condo_apartment,468 Wellington St 300,Wellington St,Niagara,Toronto,7749000,3,3,1,43.64380575,-79.398041956,2024-01-30,https://toronto.listing.ca/468-wellington-st-300.C7336302.htm#42-1mx
W7336224,condo_apartment,2045 Lake Shore Blvd 308,Lake Shore Blvd,Mimico,Toronto,928000,2,2,1,43.6315117,-79.474547859,2024-01-30,https://toronto.listing.ca/2045-lake-shore-blvd-308.W7336224.htm#42-1my
C7302856,condo_apartment,120 Homewood Ave 622,Homewood Ave,North St. James Town,Toronto,1150000,3,2,0,43.6666917,-79.37621984,2024-01-30,https://toronto.listing.ca/120-homewood-ave-622.C7302856.htm#42-1mz
W7335814,condo_apartment,80 Grandravine Dr 703,Grandravine Dr,York University Heights,Toronto,499000,1,2,0,43.7531248,-79.4915371,2024-01-30,https://toronto.listing.ca/80-grandravine-dr-703.W7335814.htm#42-1n0
W7334984,condo_apartment,26 Gibbs Rd 534,Gibbs Rd,Islington-City Centre West,Toronto,639000,2,2,0,43.639211,-79.558182,2024-01-30,https://toronto.listing.ca/26-gibbs-rd-534.W7334984.htm#42-1n1
E7335952,condo_apartment,2245 Eglinton Ave 1005,Eglinton Ave,Ionview,Toronto,499999,1,2,0,43.729914,-79.27329142,2024-01-30,https://toronto.listing.ca/2245-eglinton-ave-1005.E7335952.htm#42-1n2
E7335768,condo_apartment,30 Baseball Pl 318,Baseball Pl,South Riverdale,Toronto,555000,1,1,0,43.6578071,-79.351907,2024-01-30,https://toronto.listing.ca/30-baseball-pl-318.E7335768.htm#42-1n3
E7335420,condo_apartment,2031 Kennedy Rd 3108,Kennedy Rd,Agincourt South-Malvern West,Toronto,790000,2,3,0,43.7717499,-79.2829632,2024-01-30,https://toronto.listing.ca/2031-kennedy-rd-3108.E7335420.htm#42-1n4
E7334108,condo_apartment,10 Guildwood Pkwy 330A,Guildwood Pkwy,Guildwood,Toronto,720000,2,2,0,43.7490467,-79.2045926,2024-01-30,https://toronto.listing.ca/10-guildwood-pkwy-330a.E7334108.htm#42-1n5
E7333824,condo_apartment,15 Sewells Rd 302,Sewells Rd,Malvern,Toronto,428800,1,2,0,43.8066985,-79.217108979,2024-01-30,https://toronto.listing.ca/15-sewells-rd-302.E7333824.htm#42-1n6
